"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"152",17.092757,58.676714,"2271162142",70,44,181,6767,202,-40,242,168,-2,168,-17,558,64,30,25,188,91,188,103
"153",17.090826,58.679614,"2271162232",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"154",17.102719,58.680538,"2271162494",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
"155",17.104857,58.680039,"2271162704",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
"156",17.78455,59.600383,"2271171919",63,54,204,7140,207,-59,266,165,-13,165,-30,558,77,27,33,209,83,209,92
"157",17.080387,58.679306,"2271206449",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"158",17.087277,58.677335,"2271206829",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"159",17.080109,58.680296,"2271207218",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"160",17.083576,58.67748,"2271207579",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"161",17.082292,58.679941,"2271207812",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"162",17.081267,58.679833,"2271207828",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"163",17.089469,58.681057,"2271208050",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"164",17.079228,58.680109,"2271208308",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"165",17.079911,58.679534,"2271208352",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"166",17.0793,58.679801,"2271208619",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"167",17.087951,58.675359,"2271209148",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"168",17.087376,58.680926,"2271209356",70,44,181,6769,202,-40,242,168,-2,168,-17,563,65,30,26,191,91,191,103
"169",17.301948,59.953862,"2271214497",59,63,223,7426,214,-70,283,163,-17,164,-38,558,72,28,31,210,88,192,93
"170",17.077279,58.67974,"2271265170",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"171",17.076605,58.680081,"2271265452",70,44,182,6772,202,-40,242,168,-2,168,-17,561,64,30,25,190,91,190,103
"172",17.072814,58.681239,"2271266632",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"173",17.073488,58.681071,"2271267226",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"174",17.068377,58.682952,"2271267903",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"175",17.067865,58.683928,"2271268169",70,45,183,6783,203,-40,243,169,-2,169,-17,549,63,29,26,187,88,187,100
"176",17.281053,59.047613,"2271287150",66,52,202,6986,207,-51,258,166,-7,166,-24,541,66,29,27,186,87,186,96
"177",15.3286,57.317138,"2271297659",62,62,244,6577,204,-52,255,153,-8,156,-23,651,80,35,24,221,109,212,119
"178",15.325924,57.316294,"2271300428",63,62,244,6577,205,-51,255,154,-7,156,-22,646,79,35,23,218,109,211,118
"179",16.312929,58.957191,"2271444572",66,65,235,7159,217,-59,276,166,-8,166,-27,566,68,30,26,198,90,189,97
"180",11.347429,59.1557,"2236706161",69,57,219,6976,208,-51,259,88,40,165,-22,819,100,44,25,279,139,235,157
"181",11.347087,59.155769,"2236717814",69,57,219,6976,208,-51,259,88,40,165,-22,819,100,44,25,279,139,235,157
"182",11.00553,59.070859,"2236759264",73,50,204,6823,206,-41,247,93,43,168,-16,853,106,47,26,296,147,246,159
"183",10.291743,48.881596,"2237181796",83,74,284,6634,223,-38,261,171,26,175,-4,774,92,53,21,266,160,235,173
"184",11.260993,59.217669,"2237265191",67,58,221,7014,207,-54,261,40,38,164,-25,841,100,45,25,282,141,243,163
"185",11.241347,59.212262,"2237288024",69,57,219,7013,209,-51,260,89,41,166,-22,805,97,43,25,272,135,234,154
"186",11.254929,59.217982,"2237294900",69,57,220,7025,209,-52,261,42,40,166,-23,820,98,44,25,276,137,237,158
"187",8.041404,61.923901,"2237301495",30,56,219,6995,170,-87,257,46,55,127,-60,391,43,15,28,125,49,112,123
"188",11.256259,59.222588,"2237321551",69,57,220,7025,209,-52,261,42,40,166,-23,820,98,44,25,276,137,237,158
"189",11.451032,59.307462,"2237353970",63,61,228,7122,208,-61,268,82,35,161,-30,788,93,44,24,264,135,208,152
"190",10.66506,59.462201,"2237360741",72,60,224,7150,216,-51,267,90,43,171,-21,792,100,42,27,284,141,192,143
"191",10.972212,59.207443,"2237378969",73,54,213,6954,211,-45,256,93,44,169,-17,782,98,43,26,273,138,224,145
"192",10.941327,59.150251,"2247825200",71,53,209,6886,207,-45,251,91,42,167,-18,869,108,48,26,304,155,246,162
"193",10.663748,59.46378,"2247852888",72,60,224,7150,216,-51,267,90,43,171,-21,792,100,42,27,284,141,192,143
"194",11.443001,59.327901,"2247982967",64,62,229,7142,208,-61,269,82,36,162,-30,814,96,45,24,273,138,215,158
"195",17.090619,58.683737,"2271427546",70,44,182,6775,202,-40,242,168,-2,168,-17,550,63,29,26,187,88,187,100
"196",17.088059,58.685058,"2271427883",70,44,182,6775,202,-40,242,168,-2,168,-17,550,63,29,26,187,88,187,100
"197",17.109493,58.655412,"2271429299",70,43,177,6745,201,-38,240,169,-1,169,-16,549,63,30,25,187,90,187,100
"198",17.592562,59.840774,"2271460594",62,58,212,7288,212,-63,274,165,-14,165,-33,520,69,26,32,199,78,199,87
"199",17.053501,58.674846,"2271466123",70,44,183,6776,203,-40,243,169,-2,169,-17,560,64,30,25,190,91,190,103
"200",17.059232,58.674108,"2271466297",70,44,183,6775,203,-40,243,169,-2,169,-16,558,64,30,25,190,91,190,103
"201",17.047635,58.679913,"2271466401",70,45,184,6786,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
"202",17.043278,58.678194,"2271467639",70,45,184,6786,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
"203",17.04405,58.678161,"2271467681",70,45,184,6786,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
